device_id,latest_time,latest_level_mm,rate_of_rise_mm/hr,latest_voltage,latest_rssi,signal_status_mode
MM-00976,2025-05-29 15:30:00,999.0,5760.0,3.58,31.0,Very Good
MM-01089,2026-02-10 23:55:00,406.0,72.0,3.64,23.0,Very Good
MM-01105,2026-02-10 23:55:00,589.0,-24.0,3.59,15.0,Very Good
MM-01298,2026-02-10 23:55:00,999.0,0.0,3.65,11.0,Very Good
MM-01342,2026-01-21 11:25:00,78.0,0.0,3.54,17.0,Very Good
MM-01662,2026-02-10 23:55:00,714.0,0.0,3.62,17.0,Very Good
MMR-00271,2025-03-05 04:45:00,61.0,0.0,3.58,18.0,Very Good
MMR-00289,2025-03-06 13:35:00,1700.0,0.0,3.55,23.0,Very Good
MMR-00293,2025-10-12 00:30:00,89.0,0.0,3.57,8.0,Very Good
MMR-00356,2025-10-31 18:20:00,-586.0,12.0,3.56,31.0,Very Good
MMR-00421,2026-02-10 23:50:00,314.0,0.0,3.6,16.0,Very Good
SP - 00266,2026-02-10 23:45:00,-97.0,0.0,3.61,19.0,Very Good
SP - 00271,2026-02-10 23:50:00,982.0,0.0,3.62,25.0,Very Good
